2023/09/19 08:39:33,FPGA-A,FPGA-A 0.85V,0.89V,1.19V,1.80V,1.80V,2.01V,2.01V,1.81V,3.30V,3.30V,3.28V,37.31,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:39:38,FPGA-A,FPGA-A 0.86V,0.90V,1.19V,1.80V,1.80V,2.01V,2.01V,1.81V,3.30V,3.30V,3.28V,37.31,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:39:43,FPGA-A,FPGA-A 0.85V,0.89V,1.20V,1.80V,1.82V,2.01V,2.00V,1.80V,3.30V,3.31V,3.29V,37.50,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:39:48,FPGA-A,FPGA-A 0.85V,0.89V,1.20V,1.80V,1.82V,2.01V,2.00V,1.80V,3.30V,3.31V,3.29V,37.50,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:03,FPGA-A,FPGA-A 0.86V,0.90V,1.20V,1.80V,1.82V,2.01V,2.00V,1.80V,3.30V,3.31V,3.29V,37.50,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:08,FPGA-A,FPGA-A 0.85V,0.90V,1.20V,1.81V,1.80V,2.01V,2.01V,1.80V,3.30V,3.31V,3.29V,38.75,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:13,FPGA-A,FPGA-A 0.86V,0.90V,1.20V,1.81V,1.80V,2.01V,2.01V,1.80V,3.30V,3.31V,3.29V,38.75,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:18,FPGA-A,FPGA-A 0.85V,0.90V,1.20V,1.81V,1.80V,2.01V,2.01V,1.80V,3.30V,3.31V,3.29V,38.75,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:23,FPGA-A,FPGA-A 0.86V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.28V,3.30V,3.29V,38.94,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:28,FPGA-A,FPGA-A 0.85V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.28V,3.30V,3.29V,38.94,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:33,FPGA-A,FPGA-A 0.86V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.28V,3.30V,3.29V,38.94,0RPM/0%,0% 0% ,0% 0% 
2023/09/19 08:40:38,FPGA-A,FPGA-A 0.85V,0.90V,1.20V,1.80V,1.80V,2.01V,2.01V,1.80V,3.30V,3.30V,3.29V,39.25,0RPM/0%,0% 0% ,0% 0% 
