2023/09/15 11:46:03,FPGA-A,FPGA-A 0.85V,0.90V,1.20V,1.80V,1.80V,2.01V,2.01V,1.79V,3.30V,3.30V,3.29V,33.81,2707RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:08,FPGA-A,FPGA-A 0.85V,0.91V,1.21V,1.80V,1.80V,2.00V,2.00V,1.80V,3.30V,3.29V,3.29V,33.88,465RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:13,FPGA-A,FPGA-A 0.86V,0.91V,1.21V,1.80V,1.80V,2.00V,2.00V,1.80V,3.30V,3.29V,3.29V,33.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:18,FPGA-A,FPGA-A 0.86V,0.89V,1.21V,1.80V,1.80V,2.00V,2.00V,1.80V,3.30V,3.29V,3.29V,33.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:23,FPGA-A,FPGA-A 0.86V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.30V,3.31V,3.29V,41.25,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:28,FPGA-A,FPGA-A 0.86V,0.89V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.30V,3.31V,3.29V,41.25,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:33,FPGA-A,FPGA-A 0.85V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.30V,3.31V,3.29V,41.25,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:38,FPGA-A,FPGA-A 0.86V,0.90V,1.19V,1.81V,1.81V,2.01V,2.00V,1.79V,3.29V,3.31V,3.29V,41.25,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:48,FPGA-A,FPGA-A 0.85V,0.90V,1.19V,1.81V,1.81V,2.01V,2.00V,1.79V,3.29V,3.31V,3.29V,41.25,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:53,FPGA-A,FPGA-A 0.85V,0.90V,1.19V,1.81V,1.81V,2.01V,2.00V,1.79V,3.29V,3.31V,3.29V,41.25,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:46:58,FPGA-A,FPGA-A 0.85V,0.90V,1.20V,1.81V,1.81V,2.02V,2.00V,1.80V,3.30V,3.30V,3.29V,41.44,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:03,FPGA-A,FPGA-A 0.85V,0.90V,1.20V,1.81V,1.81V,2.02V,2.00V,1.80V,3.30V,3.30V,3.29V,41.44,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:08,FPGA-A,FPGA-A 0.85V,0.91V,1.20V,1.81V,1.81V,2.02V,2.00V,1.80V,3.30V,3.30V,3.29V,41.44,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:23,FPGA-A,FPGA-A 0.86V,0.90V,1.20V,1.81V,1.80V,2.02V,2.00V,1.80V,3.30V,3.31V,3.30V,41.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:28,FPGA-A,FPGA-A 0.86V,0.90V,1.20V,1.81V,1.80V,2.02V,2.00V,1.80V,3.30V,3.31V,3.30V,41.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:33,FPGA-A,FPGA-A 0.86V,0.90V,1.20V,1.81V,1.80V,2.02V,2.00V,1.80V,3.30V,3.31V,3.30V,41.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:38,FPGA-A,FPGA-A 0.85V,0.90V,1.20V,1.80V,1.80V,2.01V,2.00V,1.80V,3.29V,3.31V,3.29V,42.38,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:43,FPGA-A,FPGA-A 0.86V,0.90V,1.20V,1.80V,1.80V,2.01V,2.00V,1.80V,3.29V,3.31V,3.29V,42.38,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:48,FPGA-A,FPGA-A 0.85V,0.89V,1.20V,1.80V,1.80V,2.01V,2.00V,1.80V,3.29V,3.31V,3.29V,42.38,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:53,FPGA-A,FPGA-A 0.85V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.31V,3.30V,3.29V,42.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:47:58,FPGA-A,FPGA-A 0.86V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.31V,3.30V,3.29V,42.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:48:04,FPGA-A,FPGA-A 0.86V,0.90V,1.19V,1.80V,1.80V,2.01V,2.00V,1.80V,3.31V,3.30V,3.29V,42.88,0RPM/0%,0% 0% ,0% 0% 
2023/09/15 11:48:09,FPGA-A,FPGA-A 0.86V,0.90V,1.20V,1.80V,1.80V,2.01V,2.00V,1.80V,3.30V,3.31V,3.28V,43.06,0RPM/0%,0% 0% ,0% 0% 
